"Var1","Var2","radius"
-8.58,41.19,0.01
-8.57,41.19,0.01
-8.56,41.19,0.01
-8.55,41.19,0.01
-8.54,41.19,0.01
-8.53,41.19,0.01
-8.52,41.19,0.01
-8.51,41.19,0.01
-8.5,41.19,0.01
-8.49,41.19,0.01
-8.48,41.19,0.01
-8.47,41.19,0.01
-8.46,41.19,0.01
-8.45,41.19,0.01
-8.7,41.2,0.01
-8.69,41.2,0.01
-8.68,41.2,0.01
-8.67,41.2,0.01
-8.66,41.2,0.01
-8.65,41.2,0.01
-8.64,41.2,0.01
-8.63,41.2,0.01
-8.62,41.2,0.01
-8.61,41.2,0.01
-8.6,41.2,0.01
-8.59,41.2,0.01
-8.58,41.2,0.01
-8.57,41.2,0.01
-8.56,41.2,0.01
-8.55,41.2,0.01
-8.54,41.2,0.01
-8.53,41.2,0.01
-8.52,41.2,0.01
-8.51,41.2,0.01
-8.5,41.2,0.01
-8.49,41.2,0.01
-8.48,41.2,0.01
-8.47,41.2,0.01
-8.46,41.2,0.01
-8.45,41.2,0.01
-8.7,41.21,0.01
-8.69,41.21,0.01
-8.68,41.21,0.01
-8.67,41.21,0.01
-8.66,41.21,0.01
-8.65,41.21,0.01
-8.64,41.21,0.01
-8.63,41.21,0.01
-8.62,41.21,0.01
-8.61,41.21,0.01
-8.6,41.21,0.01
-8.59,41.21,0.01
-8.58,41.21,0.01
-8.57,41.21,0.01
-8.56,41.21,0.01
-8.55,41.21,0.01
-8.54,41.21,0.01
-8.53,41.21,0.01
-8.52,41.21,0.01
-8.51,41.21,0.01
-8.5,41.21,0.01
-8.49,41.21,0.01
-8.48,41.21,0.01
-8.47,41.21,0.01
-8.46,41.21,0.01
-8.45,41.21,0.01
-8.7,41.22,0.01
-8.69,41.22,0.01
-8.68,41.22,0.01
-8.67,41.22,0.01
-8.66,41.22,0.01
-8.65,41.22,0.01
-8.64,41.22,0.01
-8.63,41.22,0.01
-8.62,41.22,0.01
-8.61,41.22,0.01
-8.6,41.22,0.01
-8.59,41.22,0.01
-8.58,41.22,0.01
-8.57,41.22,0.01
-8.56,41.22,0.01
-8.55,41.22,0.01
-8.54,41.22,0.01
-8.53,41.22,0.01
-8.52,41.22,0.01
-8.51,41.22,0.01
-8.5,41.22,0.01
-8.49,41.22,0.01
-8.48,41.22,0.01
-8.47,41.22,0.01
-8.46,41.22,0.01
-8.45,41.22,0.01
-8.7,41.23,0.01
-8.69,41.23,0.01
-8.68,41.23,0.01
-8.67,41.23,0.01
-8.66,41.23,0.01
-8.65,41.23,0.01
-8.64,41.23,0.01
-8.63,41.23,0.01
-8.62,41.23,0.01
-8.61,41.23,0.01
-8.6,41.23,0.01
-8.59,41.23,0.01
-8.58,41.23,0.01
-8.57,41.23,0.01
-8.56,41.23,0.01
-8.55,41.23,0.01
-8.54,41.23,0.01
-8.53,41.23,0.01
-8.52,41.23,0.01
-8.51,41.23,0.01
-8.5,41.23,0.01
-8.49,41.23,0.01
-8.48,41.23,0.01
-8.47,41.23,0.01
-8.46,41.23,0.01
-8.45,41.23,0.01
-8.7,41.24,0.01
-8.69,41.24,0.01
-8.68,41.24,0.01
